Student_ID,First_Name,Last_Name,Email,Gender,Department,Grade,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Age,Math_Score,assi_Math,Science_Score,assi_Science,English_Score,assi_English,Social_Studies_Score,assi_Social_Studie,French_Score,assi_French,Computer_Science_Score,assi_Computer_Science,last_score,Study_Hours_per_Week,Stress_Level (1-10),Sleep_Hours_per_Night,assi_late,non-academic_attendance,academic_attendance,lms_login_freq_per_day,lms_active_avg_hrs,resource_access_avg_hrs
S1028,Liam,Davis,student28@university.com,Female,5th Grade,C,Yes,Yes,Bachelor's,Low,10,75.0,65.9,77.0,70.5,71.66666667,72.6,74.0,46.9,73.0,93.7,70.0,52.0,71.6,11.2,3,4.0,0.0,83.33333333,90.66666667,1.9,1.766666667,1.166666667
S1028,Liam,Davis,student28@university.com,Female,6th Grade,C,Yes,Yes,Bachelor's,Low,12,63.5,55.2,65.5,62.2,79.0,87.4,69.0,73.0,71.5,89.5,68.0,52.5,67.6,11.2,3,4.0,0.0,85.5,87.5,1.85,1.3,1.05
S1028,Liam,Davis,student28@university.com,Female,Middle School,C,Yes,Yes,Bachelor's,Low,12,71.5,68.3,71.75,71.1,76.0,80.1,66.75,51.8,66.0,74.1,73.25,63.0,71.8,11.2,3,4.0,0.25,85.0,87.75,1.375,1.675,1.25
S1029,Maria,Jones,student29@university.com,Female,5th Grade,D,No,Yes,Master's,High,10,83.0,61.7,65.0,59.1,70.0,61.0,71.0,61.1,58.0,60.9,68.0,53.8,61.5,7.0,3,6.7,0.0,92.0,75.0,1.4,1.6,0.9
S1029,Maria,Jones,student29@university.com,Female,6th Grade,D,No,Yes,Master's,High,12,62.5,44.2,65.5,58.3,69.75,76.3,66.5,51.3,65.75,70.3,67.25,73.6,59.3,7.0,3,6.7,0.0,79.75,83.5,1.4,1.5,0.975
S1029,Maria,Jones,student29@university.com,Female,Middle School,D,No,Yes,Master's,High,12,66.5,57.2,68.5,65.9,65.5,58.8,63.5,60.8,59.0,59.5,74.5,65.4,64.0,7.0,3,6.7,0.0,96.0,70.5,1.4,1.45,0.85
S1031,Ali,Johnson,student31@university.com,Male,5th Grade,F,No,Yes,Bachelor's,Low,10,47.0,66.0,62.0,52.3,50.0,51.6,38.0,30.4,63.0,71.7,60.0,50.2,49.3,19.1,3,6.3,0.0,92.0,42.0,0.8,1.1,0.5
S1034,Emma,Davis,student34@university.com,Female,6th Grade,B,No,Yes,Master's,Low,12,85.0,58.0,80.0,40.0,82.0,74.0,88.0,68.0,82.0,86.5,93.0,65.0,86.3,5.8,1,5.6,0.0,83.0,100.0,3.0,1.9,1.4
S1036,Maria,Davis,student36@university.com,Female,Middle School,B,No,Yes,Bachelor's,Low,12,73.0,75.0,76.0,70.0,80.0,96.0,89.0,41.0,76.0,78.0,85.0,59.0,76.2,12.9,10,8.8,0.0,75.0,100.0,1.8,2.1,1.4
S1041,Omar,Smith,student41@university.com,Male,5th Grade,D,No,Yes,Bachelor's,Medium,10,65.0,61.0,56.66666667,70.0,64.0,53.0,67.66666667,54.0,59.66666667,76.5,69.33333333,58.0,58.1,28.1,6,5.7,0.0,81.33333333,75.0,1.1,1.166666667,0.866666667
S1041,Omar,Smith,student41@university.com,Male,6th Grade,D,No,Yes,Bachelor's,Medium,12,60.0,70.0,56.0,65.0,71.0,70.0,72.0,73.0,56.0,80.0,61.0,71.0,68.5,28.1,6,5.7,0.0,91.0,100.0,1.6,1.2,0.7
S1041,Omar,Smith,student41@university.com,Male,Middle School,D,No,Yes,Bachelor's,Medium,12,69.0,70.0,70.0,75.0,68.0,78.0,69.0,56.0,58.0,84.5,61.0,60.0,64.9,28.1,6,5.7,0.0,86.0,75.0,1.5,1.2,1.2
S1054,Omar,Smith,student54@university.com,Male,5th Grade,B,No,Yes,High School,Medium,10,81.5,57.0,82.0,65.0,92.5,56.0,83.5,42.0,76.5,84.0,78.0,52.0,82.6,5.3,8,6.8,0.0,85.0,96.0,2.3,2.3,1.05
S1056,Liam,Williams,student56@university.com,Female,6th Grade,F,No,Yes,Bachelor's,Low,12,92.0,60.0,88.0,80.0,80.0,78.0,89.0,67.0,88.0,87.5,86.0,64.0,81.5,27.7,4,6.0,,,,,,
S1059,Ahmed,Johnson,student59@university.com,Male,5th Grade,C,No,No,Master's,Medium,10,70.0,98.0,79.0,70.0,73.5,98.0,72.5,76.0,69.5,85.0,74.5,70.0,71.0,10.1,8,5.2,0.0,87.5,92.0,2.0,1.55,1.0
S1059,Ahmed,Johnson,student59@university.com,Male,6th Grade,C,No,No,Master's,Medium,12,67.0,86.0,73.0,80.0,78.0,79.0,70.0,90.0,77.0,87.5,73.0,72.0,73.4,10.1,8,5.2,0.0,76.0,83.0,1.7,2.0,1.3
S1059,Ahmed,Johnson,student59@university.com,Male,Middle School,C,No,No,Master's,Medium,12,74.0,81.0,75.8,80.0,64.6,87.0,74.2,47.0,71.0,91.0,73.4,61.0,67.6,10.1,8,5.2,0.0,80.0,96.8,1.74,1.52,1.3
S1063,Ali,Davis,student63@university.com,Male,5th Grade,C,No,Yes,Bachelor's,Medium,10,75.66666667,58.0,76.0,65.0,72.66666667,37.0,77.33333333,39.0,75.0,50.0,78.66666667,51.0,77.4,19.4,4,8.6,0.0,84.33333333,78.0,1.766666667,1.833333333,1.0
S1063,Ali,Davis,student63@university.com,Male,6th Grade,C,No,Yes,Bachelor's,Medium,12,74.5,96.0,81.5,80.0,72.0,100.0,74.0,90.0,69.5,92.0,77.0,70.0,72.3,19.4,4,8.6,0.5,81.5,87.5,1.25,1.65,1.15
S1063,Ali,Davis,student63@university.com,Male,Middle School,C,No,Yes,Bachelor's,Medium,12,73.0,72.0,83.0,90.0,73.5,87.0,75.5,75.0,79.0,81.0,72.0,69.0,74.8,19.4,4,8.6,0.0,88.5,100.0,1.85,1.75,1.05
S1067,Ali,Williams,student67@university.com,Male,5th Grade,D,No,Yes,PhD,Low,10,62.0,71.0,68.0,55.0,67.0,68.0,54.0,85.0,73.0,87.0,53.0,63.0,60.4,19.6,8,7.2,0.0,90.0,83.0,1.4,1.2,1.0
S1067,Ali,Williams,student67@university.com,Male,6th Grade,D,No,Yes,PhD,Low,12,57.0,82.0,59.0,90.0,71.0,73.0,64.0,81.0,65.0,85.0,71.0,66.0,71.9,19.6,8,7.2,0.0,91.0,100.0,1.6,1.2,0.7
S1067,Ali,Williams,student67@university.com,Male,Middle School,D,No,Yes,PhD,Low,12,52.33333333,75.0,61.66666667,75.0,58.0,68.0,64.66666667,81.0,59.66666667,91.5,61.66666667,71.0,59.6,19.6,8,7.2,0.0,84.66666667,66.33333333,1.6,1.333333333,0.833333333
S1078,Omar,Johnson,student78@university.com,Male,6th Grade,F,No,Yes,Master's,Medium,12,78.0,80.0,87.0,85.0,94.0,91.0,92.0,71.0,91.0,86.0,96.0,76.0,85.4,24.8,7,4.7,,,,,,
S1081,Maria,Johnson,student81@university.com,Female,5th Grade,C,No,Yes,Master's,Low,10,79.0,65.0,74.66666667,50.0,75.33333333,55.0,70.33333333,55.0,67.66666667,89.0,65.33333333,58.0,75.3,10.8,1,5.4,0.0,83.0,86.33333333,1.466666667,1.7,1.033333333
S1081,Maria,Johnson,student81@university.com,Female,6th Grade,C,No,Yes,Master's,Low,12,74.0,63.0,80.66666667,90.0,71.33333333,77.0,78.0,58.0,63.66666667,74.0,79.33333333,62.0,69.6,10.8,1,5.4,0.0,79.66666667,83.33333333,1.833333333,1.5,0.966666667
S1081,Maria,Johnson,student81@university.com,Female,Middle School,C,No,Yes,Master's,Low,12,74.33333333,54.0,66.33333333,80.0,67.33333333,44.0,68.33333333,54.0,68.66666667,93.0,74.33333333,51.0,70.7,10.8,1,5.4,0.0,85.66666667,79.33333333,1.7,1.2,1.3
S1088,Maria,Jones,student88@university.com,Female,6th Grade,F,No,Yes,PhD,High,12,51.0,32.0,62.0,65.0,46.0,31.0,52.0,45.0,45.0,89.5,41.0,48.0,41.7,26.8,2,8.2,,,,,,
S1089,Sara,Brown,student89@university.com,Female,5th Grade,F,No,Yes,Bachelor's,Medium,10,91.0,63.0,91.0,80.0,86.0,61.0,100.0,53.0,97.0,91.0,86.0,51.0,86.5,8.0,8,6.4,,,,,,
S1090,Liam,Johnson,student90@university.com,Female,5th Grade,C,No,Yes,PhD,Medium,10,62.0,55.0,71.0,50.0,66.0,51.0,62.0,63.0,69.0,85.0,69.0,61.0,67.3,21.1,10,7.1,0.0,82.0,83.0,2.0,1.3,1.0
S1090,Liam,Johnson,student90@university.com,Female,6th Grade,C,No,Yes,PhD,Medium,12,80.33333333,51.0,70.0,65.0,69.0,91.0,71.0,71.0,71.66666667,84.0,81.0,65.0,76.8,21.1,10,7.1,0.0,81.66666667,91.66666667,1.866666667,1.233333333,1.0
S1090,Liam,Johnson,student90@university.com,Female,Middle School,C,No,Yes,PhD,Medium,12,66.6,43.0,68.6,45.0,75.0,67.0,69.2,56.0,68.8,81.0,70.8,56.0,70.5,21.1,10,7.1,0.0,84.4,86.6,1.62,1.38,0.94
S1091,Maria,Williams,student91@university.com,Female,5th Grade,D,No,Yes,Bachelor's,Medium,10,64.0,95.0,64.0,70.0,80.5,71.0,63.5,86.0,57.5,83.0,65.0,65.0,65.3,13.3,5,6.5,0.0,87.5,83.5,1.1,1.3,0.95
S1091,Maria,Williams,student91@university.com,Female,6th Grade,D,No,Yes,Bachelor's,Medium,12,62.0,89.0,67.5,80.0,71.5,90.0,66.5,100.0,66.0,88.0,66.5,62.0,65.5,13.3,5,6.5,0.0,79.0,79.5,1.25,1.3,1.15
S1091,Maria,Williams,student91@university.com,Female,Middle School,D,No,Yes,Bachelor's,Medium,12,57.66666667,88.0,62.66666667,95.0,61.66666667,94.0,66.0,66.0,68.33333333,83.5,62.0,63.0,57.1,13.3,5,6.5,0.0,84.33333333,63.66666667,1.3,1.4,0.933333333
S1092,Sara,Davis,student92@university.com,Female,6th Grade,F,No,Yes,PhD,Medium,12,91.0,87.0,93.0,80.0,86.0,82.0,83.0,83.0,80.0,85.5,91.0,73.0,84.5,9.7,2,8.6,,,,,,
S1093,Emma,Davis,student93@university.com,Female,5th Grade,C,No,Yes,High School,Low,10,78.0,68.0,76.5,85.0,77.0,83.0,67.0,78.0,73.0,75.0,77.5,70.0,73.0,9.6,9,6.4,0.5,87.5,92.0,1.6,1.5,1.25
S1093,Emma,Davis,student93@university.com,Female,6th Grade,C,No,Yes,High School,Low,12,71.0,57.0,71.0,95.0,72.0,50.0,73.5,45.0,72.0,64.0,75.0,59.0,76.6,9.6,9,6.4,0.0,82.5,83.0,1.65,1.65,1.2
S1093,Emma,Davis,student93@university.com,Female,Middle School,C,No,Yes,High School,Low,12,75.66666667,68.0,67.66666667,75.0,77.66666667,80.0,77.0,75.0,72.66666667,81.5,74.0,77.0,75.5,9.6,9,6.4,0.0,77.0,90.66666667,1.966666667,1.4,0.9
S1096,Sara,Jones,student96@university.com,Female,5th Grade,F,No,Yes,High School,Medium,10,40.0,78.0,56.0,85.0,51.0,84.0,40.0,59.0,48.0,92.5,45.0,72.0,39.6,11.8,2,6.6,,,,,,
S1099,Ahmed,Smith,student99@university.com,Male,5th Grade,D,No,Yes,Master's,Medium,10,62.5,65.0,58.5,70.0,54.5,66.0,63.0,56.0,60.5,79.5,57.5,58.0,60.7,6.4,8,7.4,0.0,83.0,87.5,1.9,1.6,1.0
S1100,Omar,Smith,student100@university.com,Male,6th Grade,B,No,No,Master's,Medium,12,85.5,67.0,80.5,90.0,90.0,73.0,82.5,71.0,96.5,88.0,85.0,52.0,85.1,7.1,1,5.5,0.0,79.0,92.0,2.7,1.95,1.7
S1101,Sara,Davis,student101@university.com,Female,5th Grade,F,No,Yes,Master's,Low,10,60.0,70.0,64.0,70.0,72.0,68.0,50.0,79.0,67.0,87.0,56.0,63.0,58.8,25.5,9,8.6,0.0,84.0,58.0,1.3,1.1,0.8
S1104,Sara,Jones,student104@university.com,Female,5th Grade,F,No,Yes,PhD,Medium,10,88.0,89.0,98.0,95.0,86.0,100.0,100.0,87.0,89.0,86.0,99.0,76.0,95.8,6.0,3,4.3,,,,,,
S1106,Emma,Jones,student106@university.com,Female,5th Grade,D,Yes,Yes,Bachelor's,Medium,10,58.5,39.0,59.0,75.0,60.0,42.0,59.5,53.0,55.5,85.5,65.5,55.0,63.8,16.3,8,6.1,0.0,85.0,79.0,1.55,1.55,0.85
S1107,Maria,Williams,student107@university.com,Female,5th Grade,B,No,Yes,High School,Low,10,86.0,63.0,83.0,60.0,89.0,80.0,84.0,55.0,81.0,84.0,84.0,64.0,88.2,15.5,3,7.6,0.0,83.0,100.0,3.0,1.9,1.4
S1113,Emma,Johnson,student113@university.com,Female,Middle School,F,Yes,Yes,High School,Low,12,100.0,31.0,96.0,55.0,100.0,35.0,96.0,44.0,100.0,87.5,89.0,52.0,93.5,29.3,1,6.4,,,,,,
S1116,Ali,Davis,student116@university.com,Male,5th Grade,F,Yes,Yes,Master's,Medium,10,97.0,71.0,88.0,80.0,100.0,100.0,100.0,70.0,90.0,92.0,90.0,69.0,92.9,5.5,7,6.3,,,,,,
S1117,Emma,Brown,student117@university.com,Female,5th Grade,C,No,Yes,High School,Low,10,73.0,79.0,74.5,55.0,76.5,92.0,76.0,66.0,74.5,84.5,86.0,51.0,78.1,9.1,9,7.2,0.0,84.5,92.0,2.05,1.85,1.05
S1117,Emma,Brown,student117@university.com,Female,Middle School,C,No,Yes,High School,Low,12,79.0,87.0,76.0,85.0,78.0,61.0,80.0,72.0,60.0,87.5,75.0,58.0,78.6,9.1,9,7.2,0.0,67.0,92.0,2.2,1.8,1.0
S1123,Omar,Davis,student123@university.com,Male,6th Grade,F,Yes,Yes,PhD,High,12,51.0,62.0,56.0,80.0,67.0,96.0,56.0,51.0,52.0,90.5,49.0,64.0,53.2,18.7,3,8.5,,,,,,
S1124,Ahmed,Brown,student124@university.com,Male,Middle School,F,Yes,Yes,PhD,Medium,12,92.0,76.0,93.0,60.0,87.0,84.0,100.0,80.0,95.0,84.0,93.0,68.0,92.6,9.8,5,8.5,,,,,,
S1125,Liam,Jones,student125@university.com,Female,5th Grade,C,No,Yes,Bachelor's,High,10,75.33333333,100.0,66.66666667,90.0,65.33333333,100.0,75.0,64.0,65.33333333,78.0,72.33333333,61.0,65.6,11.6,5,5.5,0.0,85.33333333,94.33333333,1.966666667,1.566666667,1.166666667
S1125,Liam,Jones,student125@university.com,Female,6th Grade,C,No,Yes,Bachelor's,High,12,79.66666667,87.0,76.33333333,65.0,73.66666667,69.0,70.33333333,97.0,75.33333333,87.0,79.0,54.0,70.9,11.6,5,5.5,0.0,79.0,91.66666667,1.7,1.566666667,1.033333333
S1125,Liam,Jones,student125@university.com,Female,Middle School,C,No,Yes,Bachelor's,High,12,72.8,75.0,66.8,75.0,75.8,71.0,72.2,69.0,67.4,90.0,78.4,61.0,75.5,11.6,5,5.5,0.0,82.8,92.0,2.02,1.5,1.26
S1127,Ali,Davis,student127@university.com,Male,5th Grade,D,No,Yes,Bachelor's,High,10,63.5,47.0,67.5,65.0,64.5,61.0,69.5,46.0,60.0,87.5,64.5,55.0,70.3,13.0,1,5.7,0.0,91.5,71.0,0.9,1.35,0.9
S1127,Ali,Davis,student127@university.com,Male,6th Grade,D,No,Yes,Bachelor's,High,12,63.85714286,78.0,62.28571429,50.0,64.14285714,74.0,66.28571429,35.0,62.57142857,85.0,63.0,55.0,63.4,13.0,1,5.7,0.0,85.0,83.28571429,1.371428571,1.4,1.028571429
S1127,Ali,Davis,student127@university.com,Male,Middle School,D,No,Yes,Bachelor's,High,12,63.0,26.0,51.0,41.7,65.0,44.0,69.0,30.0,68.0,42.5,61.0,34.0,66.8,13.0,1,5.7,0.0,44.0,92.0,1.1,1.4,0.8
S1136,Ali,Johnson,student136@university.com,Male,5th Grade,D,Yes,Yes,PhD,Medium,10,80.0,79.0,72.0,85.0,67.0,75.0,68.0,57.0,72.0,87.5,76.0,66.0,73.9,9.7,10,7.5,0.0,100.0,92.0,1.4,1.6,1.3
S1136,Ali,Johnson,student136@university.com,Male,6th Grade,D,Yes,Yes,PhD,Medium,12,70.0,59.0,64.6,70.0,70.6,85.0,71.4,59.0,68.8,86.5,64.6,59.0,65.8,9.7,10,7.5,0.2,76.4,91.6,1.74,1.46,0.98
S1136,Ali,Johnson,student136@university.com,Male,Middle School,D,Yes,Yes,PhD,Medium,12,67.2,92.0,70.6,65.0,64.0,69.0,64.8,48.0,69.8,88.0,72.2,71.0,69.5,9.7,10,7.5,0.0,79.8,83.2,1.74,1.56,1.02
S1140,Liam,Smith,student140@university.com,Female,6th Grade,F,No,Yes,Bachelor's,Medium,12,57.0,71.0,64.0,60.0,52.0,61.0,48.0,53.0,50.0,85.5,60.0,51.0,61.3,16.6,5,8.2,,,,,,
S1143,Liam,Johnson,student143@university.com,Female,6th Grade,F,Yes,Yes,PhD,Medium,12,100.0,68.0,100.0,50.0,86.0,55.0,92.0,51.0,84.0,90.0,87.0,52.0,91.4,24.5,9,6.8,,,,,,
S1147,John,Davis,student147@university.com,Male,5th Grade,D,No,Yes,Bachelor's,Medium,10,75.0,63.0,55.0,75.0,61.0,47.0,70.0,52.0,65.0,92.0,73.0,45.0,72.8,16.6,3,8.7,0.0,87.0,100.0,1.7,1.5,1.1
S1147,John,Davis,student147@university.com,Male,6th Grade,D,No,Yes,Bachelor's,Medium,12,62.0,34.0,61.0,55.0,57.0,36.0,76.0,40.0,57.0,72.5,66.0,57.0,52.7,16.6,3,8.7,0.0,76.0,83.0,1.5,1.7,1.0
S1147,John,Davis,student147@university.com,Male,Middle School,D,No,Yes,Bachelor's,Medium,12,61.75,71.0,67.75,80.0,71.0,47.0,64.25,81.0,74.5,35.0,56.0,67.0,69.2,16.6,3,8.7,0.0,82.0,89.75,1.525,1.575,1.0
S1149,Liam,Smith,student149@university.com,Female,5th Grade,F,No,Yes,PhD,Low,10,57.0,41.0,55.5,50.0,46.5,58.0,61.0,40.0,62.0,80.0,54.0,54.0,56.3,26.0,1,4.5,2.0,78.0,75.0,1.15,1.15,0.75
S1149,Liam,Smith,student149@university.com,Female,6th Grade,F,No,Yes,PhD,Low,12,51.0,90.0,53.0,70.0,63.0,76.0,59.0,41.7,53.0,80.5,60.0,54.0,55.3,26.0,1,4.5,0.0,56.0,83.0,1.2,1.3,0.5
S1150,John,Johnson,student150@university.com,Male,5th Grade,C,No,Yes,High School,Low,10,82.66666667,91.0,80.33333333,75.0,73.66666667,80.0,76.66666667,70.4,76.66666667,85.0,83.33333333,67.0,79.3,19.7,3,7.6,0.0,87.66666667,86.33333333,2.1,1.533333333,1.066666667
S1150,John,Johnson,student150@university.com,Male,6th Grade,C,No,Yes,High School,Low,12,80.66666667,49.0,77.66666667,65.0,79.0,63.0,78.33333333,57.6,78.66666667,81.5,76.33333333,63.0,70.5,19.7,3,7.6,0.0,97.0,92.0,2.133333333,1.533333333,1.166666667
S1150,John,Johnson,student150@university.com,Male,Middle School,C,No,Yes,High School,Low,12,77.5,54.0,77.5,55.0,86.0,60.0,77.5,61.4,65.0,88.0,82.0,51.0,76.7,19.7,3,7.6,0.0,85.0,96.0,1.65,1.65,1.4
S1151,John,Smith,student151@university.com,Male,5th Grade,D,No,Yes,PhD,Medium,10,79.66666667,52.0,75.0,55.0,66.33333333,61.0,65.33333333,41.2,69.0,85.0,60.33333333,68.0,70.7,13.8,3,6.5,0.0,79.33333333,89.0,1.6,1.5,1.0
S1151,John,Smith,student151@university.com,Male,6th Grade,D,No,Yes,PhD,Medium,12,72.0,84.0,64.66666667,80.0,65.66666667,100.0,73.0,53.1,66.66666667,80.0,64.0,70.0,73.6,13.8,3,6.5,0.0,82.66666667,92.0,1.566666667,1.4,1.033333333
S1151,John,Smith,student151@university.com,Male,Middle School,D,No,Yes,PhD,Medium,12,64.0,55.0,63.0,50.0,58.0,46.0,68.0,60.8,77.0,80.5,61.0,54.0,63.1,13.8,3,6.5,0.0,83.0,90.0,1.1,1.4,0.7
S1157,Sara,Brown,student157@university.com,Female,Middle School,B,No,Yes,Bachelor's,Low,12,84.5,68.0,93.5,90.0,92.0,42.0,89.5,63.4,83.5,95.0,89.0,63.0,85.4,29.3,1,4.3,0.0,85.0,96.0,2.3,2.3,1.05
S1160,Omar,Smith,student160@university.com,Male,5th Grade,D,No,Yes,High School,Medium,10,66.5,68.0,67.0,75.0,73.0,60.0,69.5,49.6,71.0,85.0,80.5,51.0,69.2,29.2,1,8.0,0.0,89.0,75.0,1.4,1.55,0.9
S1160,Omar,Smith,student160@university.com,Male,6th Grade,D,No,Yes,High School,Medium,12,64.33333333,80.0,70.66666667,65.0,60.33333333,98.0,70.66666667,61.8,68.66666667,83.0,64.33333333,68.0,70.2,29.2,1,8.0,0.0,83.33333333,77.66666667,1.5,1.466666667,0.866666667
S1160,Omar,Smith,student160@university.com,Male,Middle School,D,No,Yes,High School,Medium,12,72.0,82.0,60.0,62.0,76.0,40.0,73.0,59.7,69.0,85.5,66.0,0.0,70.6,29.2,1,8.0,0.0,92.0,75.0,1.4,1.6,0.9
S1163,Maria,Smith,student163@university.com,Female,Middle School,F,No,Yes,Bachelor's,Medium,12,100.0,61.0,100.0,80.0,100.0,65.0,100.0,100.0,96.0,78.0,98.0,59.0,96.9,11.3,7,8.1,,,,,,
S1172,John,Williams,student172@university.com,Male,5th Grade,B,No,Yes,Bachelor's,Medium,10,78.0,35.0,78.0,60.0,71.0,32.0,72.0,76.9,82.0,35.0,86.0,47.0,79.9,7.3,2,5.5,0.0,89.0,100.0,1.9,2.1,1.2
S1180,Ahmed,Johnson,student180@university.com,Male,6th Grade,D,Yes,Yes,PhD,Medium,12,68.0,71.0,69.0,80.0,61.0,83.0,53.0,66.0,74.0,90.5,59.0,61.0,64.4,17.6,3,8.7,0.0,83.0,92.0,2.3,1.7,0.9
S1180,Ahmed,Johnson,student180@university.com,Male,Middle School,D,Yes,Yes,PhD,Medium,12,64.0,53.0,70.0,55.0,65.0,55.0,56.0,77.0,75.0,83.0,55.0,56.0,68.0,17.6,3,8.7,0.0,83.0,83.0,1.5,1.5,1.1
S1182,Emma,Smith,student182@university.com,Female,Middle School,F,Yes,No,PhD,High,12,96.0,92.0,100.0,85.0,86.0,100.0,91.0,85.0,92.0,87.5,96.0,67.0,90.7,8.9,7,8.8,,,,,,
S1183,John,Brown,student183@university.com,Male,5th Grade,F,No,Yes,Bachelor's,Low,10,84.0,61.0,85.0,85.0,87.0,66.0,75.0,47.0,75.0,80.5,88.0,56.0,81.0,14.2,3,4.1,,,,,,
S1184,Ali,Williams,student184@university.com,Male,Middle School,F,No,Yes,Master's,Low,12,98.0,65.0,87.0,85.0,91.0,100.0,90.0,73.0,100.0,90.0,85.0,65.0,90.3,20.2,2,6.7,,,,,,
S1188,Omar,Jones,student188@university.com,Male,5th Grade,D,No,No,Master's,Low,10,69.0,49.0,65.5,45.0,72.0,58.0,68.5,43.0,65.0,67.5,65.0,59.0,61.6,11.1,2,6.8,0.0,67.0,96.0,1.15,1.7,1.0
S1199,John,Smith,student199@university.com,Male,6th Grade,B,Yes,Yes,Bachelor's,Medium,12,78.0,100.0,80.0,90.0,81.0,100.0,77.0,98.0,94.0,90.5,94.0,77.0,85.2,14.5,4,6.5,0.0,75.0,100.0,2.9,2.3,1.5
S1201,Liam,Brown,student201@university.com,Female,5th Grade,C,No,Yes,PhD,Low,10,76.0,68.0,73.5,65.0,81.0,71.0,80.0,55.0,71.5,84.5,78.0,64.0,77.7,26.4,8,5.7,0.0,93.0,96.0,1.75,1.75,1.45
S1201,Liam,Brown,student201@university.com,Female,6th Grade,C,No,Yes,PhD,Low,12,86.0,76.0,76.0,65.0,75.0,99.0,96.0,69.0,80.0,81.5,76.0,71.0,81.5,26.4,8,5.7,0.0,72.0,75.0,2.5,1.5,1.0
S1201,Liam,Brown,student201@university.com,Female,Middle School,C,No,Yes,PhD,Low,12,85.5,70.0,84.0,45.0,76.0,92.0,78.0,72.0,82.5,83.0,86.0,58.0,81.1,26.4,8,5.7,0.0,81.5,92.0,2.1,1.65,1.4
S1203,Ali,Williams,student203@university.com,Male,5th Grade,B,No,Yes,Bachelor's,Low,10,78.5,65.0,73.0,80.0,80.5,74.0,75.0,59.0,71.5,82.0,81.5,76.0,71.0,17.2,8,7.4,0.0,82.5,92.0,1.9,1.95,1.2
S1203,Ali,Williams,student203@university.com,Male,6th Grade,B,No,Yes,Bachelor's,Low,12,81.0,90.0,76.0,85.0,93.0,64.0,76.0,53.0,86.0,88.0,70.0,51.0,78.7,17.2,8,7.4,0.0,92.0,92.0,1.5,1.8,1.5
